backbone,id_size,method,implementation_version,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,4,ashp,verified_v1,210,0.5297331230091396,0.9518636507911413,0.5115271713500931
dinov2_vitb14,4,ashb,verified_v1,210,0.5285770366684535,0.9262236878742267,0.5315184744307351
dinov2_vitl14,4,rsn_reported,verified_v1,210,0.8895016736814059,0.5433092930698253,0.8518843923690423
dinov2_vitl14,4,knn,verified_v1,210,0.8855642329433127,0.5801119459690027,0.8460082958590146
dinov2_vitl14,4,openmax,verified_v1,210,0.8785512223602631,0.6124725558672941,0.846121702505543
dinov2_vitl14,4,msp,verified_v1,210,0.8741160089752625,0.6145263216374737,0.8440893772195437
dinov2_vitl14,4,vim,verified_v1,210,0.8739332671295781,0.6730680863420806,0.8182566700160658
dinov2_vitl14,4,maxlogit,verified_v1,210,0.8728783775600424,0.6103616478958328,0.8438806559046963
dinov2_vitl14,4,gradnorm,verified_v1,210,0.872262954227833,0.5901320968018452,0.8452943809299792
dinov2_vitl14,4,mahalanobis,verified_v1,210,0.8702480264566768,0.6653984990307125,0.817754437849691
dinov2_vitl14,4,entropy,verified_v1,210,0.8699541079165692,0.5940218714277015,0.8439922372938627
