id_size,method_a,method_b,metric,n,mean_diff,ci_low,ci_high,good_rate
6,rsn_reported,gen,AUROC,168,0.014963,0.001,0.028925,0.440476
6,rsn_reported,gen,FPR95,168,0.11852,0.080077,0.156962,0.577381
6,rsn_reported,gen,AUPR_OUT,168,0.041365,0.016457,0.066273,0.482143
6,rsn_reported,gradnorm,AUROC,168,0.014803,0.0021,0.027507,0.446429
6,rsn_reported,gradnorm,FPR95,168,0.11665,0.079202,0.154099,0.607143
6,rsn_reported,gradnorm,AUPR_OUT,168,0.042669,0.018952,0.066385,0.494048
6,rsn_reported,kl_matching,AUROC,168,0.012548,0.004931,0.020166,0.571429
6,rsn_reported,kl_matching,FPR95,168,0.050788,0.020832,0.080743,0.565476
6,rsn_reported,kl_matching,AUPR_OUT,168,0.001617,-0.015066,0.0183,0.39881
6,rsn_reported,knn,AUROC,168,0.005642,0.003354,0.007929,0.684524
6,rsn_reported,knn,FPR95,168,0.049943,0.036873,0.063013,0.696429
6,rsn_reported,knn,AUPR_OUT,168,0.017805,0.013089,0.022522,0.666667
6,rsn_reported,mahalanobis,AUROC,168,0.040489,0.036186,0.044792,0.988095
6,rsn_reported,mahalanobis,FPR95,168,0.176595,0.15422,0.19897,0.928571
6,rsn_reported,mahalanobis,AUPR_OUT,168,0.090215,0.081803,0.098627,1.0
6,rsn_reported,mahalanobispp,AUROC,168,0.043765,0.039135,0.048395,0.988095
6,rsn_reported,mahalanobispp,FPR95,168,0.184707,0.161474,0.20794,0.928571
6,rsn_reported,mahalanobispp,AUPR_OUT,168,0.09471,0.085877,0.103543,1.0
6,rsn_reported,maxlogit,AUROC,168,-0.000186,-0.012099,0.011727,0.434524
6,rsn_reported,maxlogit,FPR95,168,0.117382,0.081092,0.153671,0.571429
6,rsn_reported,maxlogit,AUPR_OUT,168,0.026821,0.004633,0.049009,0.458333
6,rsn_reported,msp,AUROC,168,-0.002077,-0.013707,0.009554,0.434524
6,rsn_reported,msp,FPR95,168,0.117058,0.081095,0.153022,0.571429
6,rsn_reported,msp,AUPR_OUT,168,0.024912,0.003099,0.046726,0.452381
6,rsn_reported,nci,AUROC,168,0.03319,0.023897,0.042484,0.702381
6,rsn_reported,nci,FPR95,168,0.171637,0.137193,0.206081,0.696429
6,rsn_reported,nci,AUPR_OUT,168,0.079694,0.060894,0.098494,0.678571
6,rsn_reported,openmax,AUROC,168,-0.008031,-0.016284,0.000223,0.416667
6,rsn_reported,openmax,FPR95,168,0.052664,0.026832,0.078497,0.541667
6,rsn_reported,openmax,AUPR_OUT,168,-0.009132,-0.023802,0.005538,0.416667
6,rsn_reported,psm,AUROC,168,0.041032,0.036326,0.045737,0.97619
6,rsn_reported,psm,FPR95,168,0.172588,0.150408,0.194767,0.928571
6,rsn_reported,psm,AUPR_OUT,168,0.090672,0.081881,0.099464,1.0
6,rsn_reported,react,AUROC,168,0.169358,0.142384,0.196332,0.815476
6,rsn_reported,react,FPR95,168,0.228885,0.189298,0.268472,0.833333
6,rsn_reported,react,AUPR_OUT,168,0.20096,0.168508,0.233411,0.809524
6,rsn_reported,rmd,AUROC,168,0.00487,-0.004331,0.014071,0.488095
6,rsn_reported,rmd,FPR95,168,-0.009073,-0.03889,0.020744,0.434524
6,rsn_reported,rmd,AUPR_OUT,168,-0.0386,-0.056552,-0.020647,0.255952
6,rsn_reported,scale,AUROC,168,0.020754,0.006399,0.035109,0.470238
6,rsn_reported,scale,FPR95,168,0.120898,0.081964,0.159833,0.583333
6,rsn_reported,scale,AUPR_OUT,168,0.04789,0.022532,0.073247,0.47619
6,rsn_reported,vim,AUROC,168,0.043085,0.038138,0.048033,0.988095
6,rsn_reported,vim,FPR95,168,0.191175,0.167582,0.214768,0.928571
