backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,5,scale,168,0.836986,0.680664,0.716495
dinov2_vitb14,5,vim,168,0.798003,0.842393,0.618573
dinov2_vitl14,5,ashb,168,0.502353,0.94466,0.386952
dinov2_vitl14,5,ashp,168,0.520671,0.94963,0.388148
dinov2_vitl14,5,ashs,168,0.508204,0.951268,0.38211
dinov2_vitl14,5,dice,168,0.790034,0.797792,0.650206
dinov2_vitl14,5,energy,168,0.857112,0.659025,0.73925
dinov2_vitl14,5,entropy,168,0.861195,0.660029,0.741718
dinov2_vitl14,5,gen,168,0.858552,0.659478,0.740086
dinov2_vitl14,5,gradnorm,168,0.861641,0.655162,0.742737
dinov2_vitl14,5,kl_matching,168,0.83904,0.662216,0.728634
dinov2_vitl14,5,knn,168,0.871595,0.630083,0.746745
dinov2_vitl14,5,mahalanobis,168,0.852349,0.713935,0.704242
dinov2_vitl14,5,mahalanobispp,168,0.850252,0.719708,0.701572
dinov2_vitl14,5,maxlogit,168,0.86595,0.672972,0.742992
dinov2_vitl14,5,msp,168,0.867274,0.675522,0.743503
dinov2_vitl14,5,nci,168,0.845439,0.692128,0.713065
dinov2_vitl14,5,openmax,168,0.872367,0.65565,0.75102
dinov2_vitl14,5,react,168,0.636972,0.866641,0.498966
dinov2_vitl14,5,rmd,168,0.842269,0.619081,0.746905
dinov2_vitl14,5,rsn_paper,168,0.852355,0.663391,0.717919
dinov2_vitl14,5,rsn_reported,168,0.875174,0.581567,0.755226
dinov2_vitl14,5,scale,168,0.856145,0.660336,0.737666
dinov2_vitl14,5,vim,168,0.854405,0.727111,0.700738
ALL,6,ashb,168,0.500984,0.94308,0.265453
ALL,6,ashp,168,0.538393,0.94365,0.276171
ALL,6,ashs,168,0.53473,0.942065,0.276136
ALL,6,dice,168,0.721918,0.850421,0.447416
ALL,6,energy,168,0.828573,0.752008,0.552577
ALL,6,entropy,168,0.835259,0.751498,0.557752
ALL,6,gen,168,0.83042,0.752109,0.553911
ALL,6,gradnorm,168,0.830579,0.75024,0.552608
