scope,id_size,method,n,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
m2_m7_equal_weight,ALL,global_std_squared_k150,636,0.8727574162505659,0.5823319881872137,0.7228768900122788,0.8253491164958794
m2_m7_equal_weight,ALL,knn_l2_pooled_k50_kth,1476,0.864983294581267,0.6090239719160981,0.728049433818977,0.8201050051879527
m2_m7_equal_weight,ALL,knn_raw_classwise_k150_mean,1476,0.8735807488911087,0.5705926794903239,0.7402295031689575,0.8320919424158792
m2_m7_equal_weight,ALL,knn_raw_pooled_k150_kth,1476,0.8710429628886964,0.5690514405980008,0.7391494099341207,0.8292102851468971
m2_m7_equal_weight,ALL,knn_raw_pooled_k150_mean,1476,0.8708368924903018,0.5757447266647225,0.7387165480631318,0.8305806736880688
m2_m7_equal_weight,ALL,l2_class_std_euclidean_k150,636,0.8697183382900615,0.5870599828634474,0.7222836252771998,0.8224338366452666
m2_m7_equal_weight,ALL,l2_class_std_huber_k150,636,0.8700261339658578,0.5818084352338804,0.723721759689593,0.8238104337831645
m2_m7_equal_weight,ALL,l2_class_std_squared_k150,636,0.8695508327353174,0.5861652547693353,0.7219670058066713,0.8219457940664415
m2_m7_equal_weight,ALL,nnguide_k10,1476,0.8625606039094512,0.6365042186870327,0.7131629623329792,0.8135228083213879
m2_m7_equal_weight,ALL,nnguide_k50,1476,0.8687111068880963,0.6301990161754427,0.7249996663631203,0.8204654885364442
m2_m7_equal_weight,ALL,raw_classwise_huber_k150,1476,0.8733888673787608,0.5709207106986385,0.7398734911646745,0.8317547232070203
m2_m7_equal_weight,ALL,raw_classwise_squared_k150,1476,0.8734320471854525,0.5692219246056311,0.7398202004588262,0.831596536679406
m2_m7_equal_weight,ALL,raw_pooled_huber_k150,1476,0.8706641537892494,0.5759707768694736,0.7384740967239938,0.830337946951146
m2_m7_equal_weight,ALL,rsn_class_std_huber_calibrated,1476,0.8645019471839478,0.6377946274752458,0.7226094243691178,0.8165377438828658
m2_m7_equal_weight,ALL,rsn_class_std_huber_k150,1476,0.870391875625632,0.5664192541708923,0.7399689533755126,0.8301329098545529
m2_m7_equal_weight,ALL,rsn_delta075,636,0.8727990122475208,0.5551607891760153,0.730553705761437,0.8313242315833557
m2_m7_equal_weight,ALL,rsn_delta100,636,0.872761934715831,0.5556387927952359,0.7303679415593543,0.8311401261279925
m2_m7_equal_weight,ALL,rsn_delta200,636,0.8725593944603158,0.5581005165400982,0.7294660503442717,0.830231731631952
m2_m7_equal_weight,ALL,rsn_delta300,636,0.8723549728619457,0.5600392842278427,0.7286971316306091,0.8294510144940781
m2_m7_equal_weight,ALL,rsn_equalbank3000,1476,0.8646955703895527,0.6024824933251256,0.7293832511805857,0.8201190576703477
m2_m7_equal_weight,ALL,rsn_k100,636,0.8725245740811531,0.5620777267270763,0.7306611055915115,0.8320705291747076
m2_m7_equal_weight,ALL,rsn_k25,636,0.8701095455744955,0.5704864927181176,0.7258273881692644,0.8307343493478155
m2_m7_equal_weight,ALL,rsn_k300,636,0.8728597383333381,0.5670606382263248,0.7280398300974958,0.8279350840591713
m2_m7_equal_weight,ALL,rsn_k50,636,0.8717520454471471,0.567707147546514,0.7295985688497716,0.8326012606195271
m2_m7_equal_weight,ALL,rsn_tau1e1,636,0.8727126427079703,0.5563760413167848,0.7300913774986616,0.8308630932212426
m2_m7_equal_weight,ALL,rsn_tau1e2,636,0.8727007975442245,0.5564102345600631,0.7300727819481727,0.8308443358560781
m2_m7_equal_weight,ALL,rsn_tau1e4,636,0.8727007975442245,0.5564102345600631,0.7300727819481727,0.8308443358560781
