scope,method_a,method_b,metric,cluster_unit,n_clusters,mean_effect,ci_low,ci_high,permutation_p,good_rate
id_size=3,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_after_seed_backbone_mean,56,0.0017104893279533044,0.001546980003906769,0.00188262168115347,9.999000099990002e-05,1.0
id_size=4,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_after_seed_backbone_mean,70,0.0023418243104964716,0.0021603862637040692,0.002526619187837284,9.999000099990002e-05,1.0
id_size=5,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_after_seed_backbone_mean,56,0.002822717549203136,0.002494549432240029,0.0031413849748459332,9.999000099990002e-05,1.0
id_size=6,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0029528692591704055,0.0022294182591816925,0.0037311684244788375,9.999000099990002e-05,1.0
id_size=7,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_after_seed_backbone_mean,8,0.0025572801338204706,0.0008024178973400902,0.004945364794018364,0.015598440155984402,0.875
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT,id_set_stratified_by_id_size,246,0.002237667765234824,0.0019048912590283458,0.002667318005681011,9.999000099990002e-05,0.9959349593495935
id_size=2,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0026082240704725403,0.0022432886577983427,0.00297634656918954,9.999000099990002e-05,1.0
id_size=3,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,56,0.0025407478228578685,0.002351422899113823,0.0027294567889507605,9.999000099990002e-05,1.0
id_size=4,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,70,0.0023525494390083668,0.002176134686241623,0.002526563698062735,9.999000099990002e-05,1.0
id_size=5,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,56,0.002062131256438817,0.0018373319849832443,0.0022895449451444698,9.999000099990002e-05,1.0
id_size=6,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0016527068348285913,0.0013237196459539844,0.0020062976850524538,9.999000099990002e-05,1.0
id_size=7,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,8,0.001095754661706606,0.0005344056818901756,0.0016946485387377215,0.0163983601639836,0.875
m2_m7_equal_weight,rsn_class_std_huber_k150,class_std_squared_k150,AUPR_OUT_BALANCED,id_set_stratified_by_id_size,246,0.002052019014218798,0.0019167057151567599,0.002193542025822523,9.999000099990002e-05,0.9959349593495935
id_size=2,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0006226501555747535,-0.0020922132829026266,0.003322525649713518,0.6572342765723428,0.5714285714285714
id_size=3,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,70,1.8086778432487634e-05,-0.0021615446002159725,0.0021524724753238275,0.9856014398560144,0.5
id_size=5,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,0,,,,,
