method,ood_class,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
raw_pooled_huber_k150,puma,0.9154552755977046,0.5235384751010109,0.7332893292905761,0.8612432646827601
raw_pooled_huber_k150,serval,0.9066706530942046,0.5801156882540331,0.5726545359836879,0.8655763855275991
raw_pooled_huber_k150,tiger,0.9773394509344524,0.053403566249046346,0.9242725282682348,0.9676047016332923
rsn_class_std_huber_calibrated,cheetah,0.890036842544731,0.7279034931420172,0.5395224922339872,0.7974231468865082
rsn_class_std_huber_calibrated,jaguar,0.7659297340656845,0.8299705790325476,0.38235140776066145,0.701810813536908
rsn_class_std_huber_calibrated,leopard,0.7724432103746128,0.7843784638425803,0.4161820761614656,0.7098399222027878
rsn_class_std_huber_calibrated,lion,0.9406751181927451,0.5228925059637319,0.7417349591810408,0.8841975044364193
rsn_class_std_huber_calibrated,ocelot,0.7803964627200679,0.8813910468924783,0.4034936268945248,0.6876985773943295
rsn_class_std_huber_calibrated,puma,0.9159612401332008,0.5926579203587756,0.7227915283830343,0.8555555393421026
rsn_class_std_huber_calibrated,serval,0.9239114259776496,0.5270125567992918,0.5998846865145057,0.8822769609627268
rsn_class_std_huber_calibrated,tiger,0.9696107739699201,0.11868928304710338,0.8884214846032841,0.9538453021168573
rsn_class_std_huber_k150,cheetah,0.9239135569531373,0.6041374720010892,0.6162514936629657,0.8499738615544323
rsn_class_std_huber_k150,jaguar,0.7652519002247626,0.7592614647849969,0.40529379854018055,0.7109713667980954
rsn_class_std_huber_k150,leopard,0.7618650360714805,0.7284977189853683,0.43375660209682226,0.7073841576621445
rsn_class_std_huber_k150,lion,0.9534537068632036,0.3226334117189118,0.7877657456457849,0.9093795482686523
rsn_class_std_huber_k150,ocelot,0.7944481746389611,0.8553958888438056,0.41945385116174433,0.7036959505805165
rsn_class_std_huber_k150,puma,0.914605632336855,0.595156363165886,0.714489726348646,0.85016505832079
rsn_class_std_huber_k150,serval,0.9166072222912688,0.543896304778289,0.5917764967420757,0.8752452676547275
rsn_class_std_huber_k150,tiger,0.9748812890233519,0.06389894266834341,0.9103477051411842,0.9615452049212834
rsn_delta075,cheetah,0.9264089742942497,0.5800840198972623,0.6497336295021107,0.8556487258231072
rsn_delta075,jaguar,0.7804911625179148,0.7318253285836268,0.4494314524237148,0.7280701955236379
rsn_delta075,leopard,0.7797303941254986,0.6968866639235178,0.4797717165415371,0.7268548445354017
rsn_delta075,lion,0.9550815898936809,0.3165566352619566,0.8093775096656783,0.9130228066307879
rsn_delta075,ocelot,0.8046178780592088,0.8299630350114282,0.4607408715378425,0.7170550074289744
rsn_delta075,puma,0.917737763337956,0.5696546387111783,0.7420436160658512,0.8564096485465712
