backbone,id_size,method,ood_class,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,5,diag_raw,jaguar,63,0.691159,0.844679,0.247876
dinov2_vitb14,5,diag_raw,leopard,63,0.66132,0.83975,0.257503
dinov2_vitb14,5,diag_raw,lion,63,0.945028,0.336977,0.716724
dinov2_vitb14,5,diag_raw,ocelot,63,0.73914,0.941096,0.258677
dinov2_vitb14,5,diag_raw,puma,63,0.900092,0.691042,0.603856
dinov2_vitb14,5,diag_raw,serval,63,0.888418,0.659161,0.436281
dinov2_vitb14,5,diag_raw,tiger,63,0.967135,0.075448,0.837077
dinov2_vitb14,6,diag_raw,cheetah,21,0.898312,0.789144,0.400497
dinov2_vitb14,6,diag_raw,jaguar,21,0.651732,0.895963,0.177376
dinov2_vitb14,6,diag_raw,leopard,21,0.608655,0.901325,0.176451
dinov2_vitb14,6,diag_raw,lion,21,0.940827,0.368998,0.662206
dinov2_vitb14,6,diag_raw,ocelot,21,0.721554,0.956626,0.208012
dinov2_vitb14,6,diag_raw,puma,21,0.893799,0.744239,0.543855
dinov2_vitb14,6,diag_raw,serval,21,0.878267,0.7159,0.363448
dinov2_vitb14,6,diag_raw,tiger,21,0.965956,0.067648,0.803871
dinov2_vitb14,7,diag_raw,cheetah,3,0.894988,0.802177,0.356075
dinov2_vitb14,7,diag_raw,jaguar,3,0.615245,0.939101,0.124857
dinov2_vitb14,7,diag_raw,leopard,3,0.557292,0.958686,0.112967
dinov2_vitb14,7,diag_raw,lion,3,0.936792,0.405377,0.610158
dinov2_vitb14,7,diag_raw,ocelot,3,0.709047,0.963684,0.175068
dinov2_vitb14,7,diag_raw,puma,3,0.888396,0.799561,0.491729
dinov2_vitb14,7,diag_raw,serval,3,0.869113,0.765968,0.303446
dinov2_vitb14,7,diag_raw,tiger,3,0.965028,0.064697,0.770638
dinov2_vitb14,ALL,diag_raw,cheetah,360,0.911186,0.684377,0.578691
dinov2_vitb14,ALL,diag_raw,jaguar,360,0.751661,0.752356,0.404071
dinov2_vitb14,ALL,diag_raw,leopard,360,0.735544,0.735969,0.421838
dinov2_vitb14,ALL,diag_raw,lion,360,0.951308,0.299577,0.793509
dinov2_vitb14,ALL,diag_raw,ocelot,360,0.777711,0.863855,0.400508
dinov2_vitb14,ALL,diag_raw,puma,360,0.911604,0.604552,0.704933
dinov2_vitb14,ALL,diag_raw,serval,360,0.905091,0.572995,0.569303
dinov2_vitb14,ALL,diag_raw,tiger,360,0.969618,0.091092,0.882041
dinov2_vitl14,2,diag_raw,cheetah,63,0.944272,0.431725,0.798687
dinov2_vitl14,2,diag_raw,jaguar,63,0.844996,0.646937,0.626843
dinov2_vitl14,2,diag_raw,leopard,63,0.859927,0.59122,0.666491
dinov2_vitl14,2,diag_raw,lion,63,0.961536,0.329745,0.880769
dinov2_vitl14,2,diag_raw,ocelot,63,0.858106,0.702076,0.657982
dinov2_vitl14,2,diag_raw,puma,63,0.931969,0.487748,0.851692
dinov2_vitl14,2,diag_raw,serval,63,0.945952,0.388786,0.788088
dinov2_vitl14,2,diag_raw,tiger,63,0.981679,0.039157,0.962511
